time,tem,heating rate,,,
min,K,K/min,,,
6.9,367.48,53.25797101,99.7020854,0.00082754,Training
6.916666667,367.64,53.15277108,99.7020854,0.00082754,Training
6.933333333,367.81,53.04951923,99.7020854,0.00082754,Training
6.95,367.99,52.94820144,99.7020854,0.00082754,Training
6.966666667,368.15,52.84449761,99.7020854,0.00082754,Validation
6.983333333,368.32,52.74272076,99.7020854,0.00082754,Training
7,368.5,52.64285714,99.7020854,0.00082754,Training
7.016666667,368.65,52.5391924,99.7020854,0.00082754,Training
7.033333333,368.85,52.44312796,99.7020854,0.00082754,Validation
7.05,369,52.34042553,99.7020854,0.00082754,Training
7.066666667,369.17,52.24103774,99.7020854,0.00082754,Training
7.083333333,369.36,52.14494118,99.7020854,0.00082754,Training
7.1,369.49,52.04084507,99.7020854,0.00082754,Training
7.116666667,369.71,51.9498829,99.7020854,0.00082754,Test
7.133333333,369.85,51.84813084,99.7020854,0.00082754,Training
7.15,370.03,51.75244755,99.7020854,0.00082754,Training
7.166666667,370.21,51.6572093,99.7020854,0.00082754,Training
7.183333333,370.35,51.55684455,99.7020854,0.00082754,Test
7.2,370.56,51.46666667,99.7020854,0.00082754,Validation
7.216666667,370.69,51.36581986,99.7020854,0.00082754,Training
7.233333333,370.88,51.27373272,99.7020854,0.00082754,Training
7.25,371.05,51.17931034,99.7020854,0.00082754,Training
7.266666667,371.19,51.08119266,99.7020854,0.00082754,Training
7.283333333,371.39,50.99176201,99.7020854,0.001655081,Training
7.3,371.53,50.89452055,99.7020854,0.001655081,Training
7.316666667,371.71,50.80318907,99.7020854,0.001655081,Training
7.333333333,371.88,50.71090909,99.7020854,0.001655081,Training
7.35,372.04,50.61768707,99.7020854,0.001655081,Training
7.366666667,372.22,50.52760181,99.7020854,0.001655081,Test
7.383333333,372.38,50.43521445,99.7020854,0.001655081,Training
7.4,372.54,50.34324324,99.7020854,0.001655081,Training
7.416666667,372.72,50.25438202,99.7020854,0.001655081,Training
7.433333333,372.88,50.1632287,99.7020854,0.001655081,Training
7.45,373.05,50.0738255,99.7020854,0.001655081,Validation
7.466666667,373.22,49.98482143,99.7020854,0.001655081,Training
7.483333333,373.37,49.8935412,99.7020854,0.001655081,Training
7.5,373.57,49.80933333,99.7020854,0.001655081,Training
7.516666667,373.7,49.71618625,99.7020854,0.001655081,Training
7.533333333,373.89,49.63141593,99.7020854,0.001655081,Validation
7.55,374.07,49.54569536,99.7020854,0.001655081,Training
7.566666667,374.21,49.45506608,99.7020854,0.001655081,Test
7.583333333,374.41,49.37274725,99.7020854,0.001655081,Training
7.6,374.54,49.28157895,99.7020854,0.001655081,Training
7.616666667,374.74,49.2,99.7020854,0.001655081,Training
7.633333333,374.9,49.11353712,99.7020854,0.001655081,Training
7.65,375.05,49.02614379,99.7020854,0.001655081,Training
7.666666667,375.25,48.94565217,99.7020854,0.001655081,Training
7.683333333,375.38,48.85639913,99.65243297,0.000827541,Training
7.7,375.58,48.77662338,99.65243297,0.000827541,Training
7.716666667,375.73,48.69071274,99.65243297,0.000827541,Training
7.733333333,375.9,48.60775862,99.65243297,0.000827541,Training
7.75,376.09,48.52774194,99.65243297,0.000827541,Validation
7.766666667,376.24,48.44291845,99.65243297,0.000827541,Training
7.783333333,376.42,48.36231263,99.65243297,0.000827541,Test
7.8,376.57,48.27820513,99.65243297,0.000827541,Training
7.816666667,376.75,48.19829424,99.65243297,0.000827541,Training
7.833333333,376.92,48.11744681,99.65243297,0.000827541,Training
7.85,377.09,48.03694268,99.65243297,0.001655081,Training
7.866666667,377.25,47.95550847,99.65243297,0.001655081,Training
7.883333333,377.43,47.8769556,99.65243297,0.001655081,Training
7.9,377.58,47.79493671,99.65243297,0.001655081,Training
7.916666667,377.77,47.71831579,99.65243297,0.001655081,Training
7.933333333,377.93,47.63823529,99.65243297,0.001655081,Training
7.95,378.09,47.55849057,99.65243297,0.001655081,Test
